 Air Date; Round; Category; Value; Question; Answer
19/01/2012;Jeopardy!;NURSERY RHYMES;$600;"In a counting nursery rhyme, they were ""a-courting"", ""in the kitchen"" & ""a-waiting""";maids
19/01/2012;Jeopardy!;INLETS;$1,000;Faxa Bay in the North Atlantic is between this country's Snaefells & Reykjanes peninsulas;Iceland
19/01/2012;Jeopardy!;"THE EVOLUTION OF ""M""USIC";$600;"This singer of ""Jack & Diane"" had to fight to record under his own name";John Mellencamp
19/01/2012;Jeopardy!;FOREIGN;$600;If Popeye spoke Hebrew he'd ask for tered, this;spinach
19/01/2012;Jeopardy!;A SHAKESPEARE PLAY, FOR OPENERS;$800;"Completes the opening sentence ""Now is the winter of our discontent made glorious summer by this sun of...""";York
19/01/2012;Jeopardy!;THAT'S BUSINESS;$800;"In 1851 this company started using a logo with a man in the moon & 13 stars; now it uses its initials";Proctor & Gamble
19/01/2012;Jeopardy!;NURSERY RHYMES;$800;"While ""January brings the snow"", ""may brings flocks of pretty"" these, ""skipping by their fleecy dams""";lambs
19/01/2012;Jeopardy!;INLETS;$800;"This Chilean city whose name means ""valley of paradise"" lies on a wide inlet of the Pacific";Valparaiso
19/01/2012;Jeopardy!;"THE EVOLUTION OF ""M""USIC";$800;"In the '90s it was ""Enter Sandman"" with this group";Metallica
19/01/2012;Jeopardy!;FOREIGN;$800;Tredici is Italian for this symbol of bad luck;thirteen
19/01/2012;Jeopardy!;A SHAKESPEARE PLAY, FOR OPENERS;$1000;"This play opens most dramatically with thunder & lightning. A ship is seen. Then a cry of ""bos'n!""";The Tempest
19/01/2012;Jeopardy!;THAT'S BUSINESS;$1000;In 1927 this brand name first appeared on a Sears washing machine;Kenmore
19/01/2012;Jeopardy!;NURSERY RHYMES;$1000;"""Here we go round"" this bush ""on a cold and frosty morning""";the mulberry bush
19/01/2012;Jeopardy!;INLETS;$1000;North Carolina's Albemarle Sound is no deeper than 25 feet & is protected from the Atlantic by this island chain;the Outer Banks
19/01/2012;Jeopardy!;"THE EVOLUTION OF ""M""USIC";$1000;"In the 2000s ""Makes Me Wonder"" got this group noticed";Maroon 5
19/01/2012;Jeopardy!;FOREIGN;$1000;In German, berg is this topographical feature on a map;a mountain
19/01/2012;Double Jeopardy!;AMERICAN HISTORY;$400;In December 1974 this former New York governor was sworn in as Vice President;Rockefeller
19/01/2012;Double Jeopardy!;WHAT'S YOUR BEEF?;$400;If you can't stand the heat, there's always this raw dish that includes onions, capers, egg yolks & beef tenderloin;steak tartare
19/01/2012;Double Jeopardy!;WEAPONS OF WORLD WAR II;$400;The British A22 Mark IV tank carried a 75-millimeter gun & this prime minister's name;Churchill
19/01/2012;Double Jeopardy!;THE LIVING PLANET;$400;Able to lift 850 times its own weight, the strongest animal is the rhinoceros type of this insect;beetle
19/01/2012;Double Jeopardy!;ACTING PRESIDENTS ON TV;$400;Blair Underwood as President Elias Martinez;The Event
19/01/2012;Double Jeopardy!;4 N;$400;"Number of ""beers on the wall"" at the beginning of the song";ninety-nine
19/01/2012;Double Jeopardy!;AMERICAN HISTORY;$800;"In 1951 he told a joint session of congress that he ""tried to do his duty as god gave him the light to see that duty""";(Douglas) McArthur
19/01/2012;Double Jeopardy!;WHAT'S YOUR BEEF?;$800;A New England boiled dinner is traditionally made with this cured deli meat;corned beef
19/01/2012;Double Jeopardy!;WEAPONS OF WORLD WAR II;$800;"Ships in the U.S. Navy's Casablanca class of ""escort"" these were smaller than their big cousins like the Lexington";aircraft carriers
19/01/2012;Double Jeopardy!;ACTING PRESIDENTS ON TV;$800;Dennis Haysbert & D.B. Woodside as David & Wayne Palmer, respectively;24
19/01/2012;Double Jeopardy!;4 N;$800;"""U"" know it means not deliberate; I'm sorry, that slip of the tongue was completely this";unintentional
19/01/2012;Double Jeopardy!;AMERICAN HISTORY;$1,800;This political party founded around 1789 stood for a strong central government;the Federalists
19/01/2012;Double Jeopardy!;WHAT'S YOUR BEEF?;$1200;A New York steak is also known as this alliterative steak;strip steak
19/01/2012;Double Jeopardy!;WEAPONS OF WORLD WAR II;$1200;"Today, this Japanese car company makes the galant; in WWII, it was better known for its A6M ""Zero"" fighter";Mitsubishi
19/01/2012;Double Jeopardy!;THE LIVING PLANET;$1200;Relative to the size of the bird, this flightless New Zealand denizen has the largest egg;the kiwi
19/01/2012;Double Jeopardy!;ACTING PRESIDENTS ON TV;$1200;Fred Armisen as Barack Obama;Saturday Night Live
19/01/2012;Double Jeopardy!;4 N;$2,400;It's the church festival on March 25 commemorating what Gabriel told Mary;the annunciation
19/01/2012;Double Jeopardy!;AMERICAN HISTORY;$1600;His foes said that in 1877 he agreed to withdraw remaining federal troops from the south in return for electoral support;(Rutherford B.) Hayes
19/01/2012;Double Jeopardy!;WHAT'S YOUR BEEF?;$1600;"The second word in the French name of this boneless steak means ""dainty""";filet mignon
19/01/2012;Double Jeopardy!;WEAPONS OF WORLD WAR II;$1600;It was the alphanumeric designation of the U.S. Army's Garand rifle;the M1
19/01/2012;Double Jeopardy!;THE LIVING PLANET;$1600;"(<a href=""http://www.j-archive.com/media/2012-01-19_DJ_27.jpg"" target=""_blank"">Sarah of the Clue Crew shows a bunch of jar-preserved specimens.</a>)  Butterflies, centipedes, scorpions, spiders, crabs, lobsters--these & millions of other creepy crawlers belong to this phylum that makes up more than 80% of all animal species, from the Greek for ""joint foot""";arthropod
19/01/2012;Double Jeopardy!;ACTING PRESIDENTS ON TV;$1600;On Fox, Patricia Wettig as Caroline Reynolds;Prison Break
19/01/2012;Double Jeopardy!;4 N;$1600;Adjective preceding the railroad completed in 1869;transcontinental
19/01/2012;Double Jeopardy!;AMERICAN HISTORY;$2000;In 1917 the U.S. purchased the islands of St. Croix, St. John & St. Thomas from this country for $25 million;Denmark
19/01/2012;Double Jeopardy!;WHAT'S YOUR BEEF?;$2000;To make this dish, beef is topped with pate de foie gras & a mushroom paste before it's wrapped in pastry & cooked;beef Wellington
19/01/2012;Double Jeopardy!;WEAPONS OF WORLD WAR II;$2000;"""Hefty"" nickname of the second & last atomic bomb used during the war";Fat Man
19/01/2012;Double Jeopardy!;THE LIVING PLANET;$2000;"The April 2009 issue of Science magazine reported that cows were the first livestock animal to have this ""mapped""";their genome
19/01/2012;Double Jeopardy!;ACTING PRESIDENTS ON TV;$2000;Mary McDonnell as Laura Roslin;Battlestar Galactica
19/01/2012;Double Jeopardy!;4 N;$2000;"Inopportune or untimely, like the title ""woman"" in a Dominick Dunne novel";inconvenient
19/01/2012;Final Jeopardy!;SPORTS & THE MOVIES;None;"When asked for a home address in ""The Blues Bros."" Elwood gives 1060 W. Addison St., the home of this facility";Wrigley Field
11/01/2012;Jeopardy!;ART & ARTISTS;$200;"In 1956 Time magazine dubbed this abstract expressionist ""Jack the Dripper""";Pollock
11/01/2012;Jeopardy!;TRAVEL;$200;This Rome landmark is 620 feet long by 513 wide-- plenty of room to run away from a wild beast;the Colosseum
11/01/2012;Jeopardy!;CELEBRITIES' MIDDLE NAMES;$200;The L. in Samuel L. Jackson stands for this, like a certain bad, bad Mr. Brown of song;Leroy
11/01/2012;Jeopardy!;CATHOLIC PRIESTS;$200;Served by priests, it may not exceed 18% alcohol;communion wine
11/01/2012;Jeopardy!;TITLE 9;$200;"Daniel Okrent: ""Nine ___: The Anatomy of a Baseball Game""";Innings
11/01/2012;Jeopardy!;"COME ""IN""";$200;"A new design or creation; necessity is often the mother of it";invention
11/01/2012;Jeopardy!;ART & ARTISTS;$400;This Dutch master served as chairman of the Delft Artists' Guild from 1662-63 & 1670-71;Jan Vermeer
11/01/2012;Jeopardy!;TRAVEL;$400;Gamblers will love to know that the Hotel Yak & Yeti in this Nepalese capital houses the 2-story Casino Royale;Kathmandu
11/01/2012;Jeopardy!;CELEBRITIES' MIDDLE NAMES;$400;"Feel free to sing out this middle name of Martin Scorsese; it's the same as Pavarotti's first";Luciano
11/01/2012;Jeopardy!;CATHOLIC PRIESTS;$400;"Title of any priest's immediate boss; the U.S. has 270 of them";bishop
11/01/2012;Jeopardy!;TITLE 9;$400;"John Buchan, filmed by Hitchcock: ""The Thirty-Nine ___""";Steps
11/01/2012;Jeopardy!;"COME ""IN""";$400;Be it a stick or cone, strawberry & sandalwood are popular fragrances of this;incense
11/01/2012;Jeopardy!;ART & ARTISTS;$600;"Aquarelle is a transparent, rather than opaque, type of this painting, as seen in Paul Klee's work ""Quarry""";watercolor
11/01/2012;Jeopardy!;TRAVEL;$2,000;This island's Mataveri Intl. Airport, the world's most remote, is serviced only by Chile's LAN Airlines;Easter Island
11/01/2012;Jeopardy!;CELEBRITIES' MIDDLE NAMES;$600;Author Hawthorne would approve of this middle name of Ralph Fiennes;Nathaniel
11/01/2012;Jeopardy!;CATHOLIC PRIESTS;$600;"The priest's duty to keep your sins secret is traditionally protected by ""the sanctity of"" this booth";the confessional
11/01/2012;Jeopardy!;TITLE 9;$600;"Elizabeth McNeill: ""Nine and a Half ___""";Weeks
11/01/2012;Jeopardy!;"COME ""IN""";$600;A military badge of rank or qualification;insignia
11/01/2012;Jeopardy!;ART & ARTISTS;$800;"Andre Breton anagrammed this surrealist's name as ""Avida Dollars""";Salvador Dali
11/01/2012;Jeopardy!;TRAVEL;$800;Beautiful Margaret Island in this river has been a Budapest park for more than 100 years;the Danube
11/01/2012;Jeopardy!;CELEBRITIES' MIDDLE NAMES;$800;"Her middle name is Louise; her last name at birth: Ciccone";Madonna
11/01/2012;Jeopardy!;CATHOLIC PRIESTS;$800;Parish priests have their own one of these, John Vianney;patron saint
11/01/2012;Jeopardy!;TITLE 9;$800;"Jeffrey Toobin: ""The Nine: Inside the Secret World of the ___ ___""";Supreme Court
11/01/2012;Jeopardy!;"COME ""IN""";$800;"Each Latin verb has 6 of these, including the perfect passive one, like optatus esse, ""to have been desired""";infinitive
11/01/2012;Jeopardy!;ART & ARTISTS;$1000;"This American female impressionist modeled for many of Degas' works, including ""At the Milliner's""";(Mary) Cassatt
11/01/2012;Jeopardy!;TRAVEL;$1000;You can buy samples of this fossilized resin at a museum devoted to it in Puerto Plata, Dominican Republic;amber
11/01/2012;Jeopardy!;CELEBRITIES' MIDDLE NAMES;$1000;This middle name of actress Mary Masterson makes us wonder if she was named for Mary, Queen of Scots;Stuart
11/01/2012;Jeopardy!;CATHOLIC PRIESTS;$1000;"This spiritual ""director"" doesn't arrange your holiday, he helps young men pursue their calling to the priesthood";a vocation director
11/01/2012;Jeopardy!;TITLE 9;$1000;"J.D. Salinger: ""Nine ___""";Stories
11/01/2012;Jeopardy!;"COME ""IN""";$1000;Paul Apak Angilirq was a producer as Canada's IBC, this Broadcasting Corporation;Inuit
11/01/2012;Double Jeopardy!;WANT ADS;$400;Numbers cruncher needed! Must be member of AICPA, the American Institute of these;Certified Public Accountants
11/01/2012;Double Jeopardy!;"GO ""SOUTH""";$400;...to 90 degrees south latitude & you'll find yourself here;the South Pole
11/01/2012;Double Jeopardy!;I KNOW THAT WORD BACKWARDS & FORWARDS;$400;"Anatomy-wise, the subscapularis is a muscle in this ""cuff""";rotator
11/01/2012;Double Jeopardy!;MESOPOTAMIA;$400;After centuries of rule by the Ottoman Empire, Mesopotamia mostly became part of this new nation in 1932;Iraq
11/01/2012;Double Jeopardy!;THE DE NIRO CODE;$400;"As Al Capone in this 1987 film: ""You can get further with a kind word and a gun than you can with just a kind word""";The Untouchables
11/01/2012;Double Jeopardy!;AT THE CLEVELAND CLINIC;$400;"(<a href=""http://www.j-archive.com/media/2012-01-11_DJ_21.jpg"" target=""_blank"">Sarah of the Clue Crew stands outside the Cleveland Clinic in Ohio.</a>)  The Cleveland Clinic pioneered group practice as opposed to private-- the founding doctors had worked as a team in the first AEF unit in France during this war";World War I
11/01/2012;Double Jeopardy!;WANT ADS;$800;Walk the Max Planck! We're Stephen Hawking a new position to be this type of scientist, like those guys;physicist
11/01/2012;Double Jeopardy!;"GO ""SOUTH""";$800;...to this Indiana college town that was originally called Big St. Joseph Station;South Bend
11/01/2012;Double Jeopardy!;I KNOW THAT WORD BACKWARDS & FORWARDS;$800;To make an allusion to something;refer
11/01/2012;Double Jeopardy!;MESOPOTAMIA;$800;Mesopotamia stretched from the Taurus Mountains in the north to this gulf in the south;the Persian
11/01/2012;Double Jeopardy!;THE DE NIRO CODE;$800;"In this 1976 movie: ""Here is a man who would not take it anymore. A man who stood up against the scum""";Taxi Driver
11/01/2012;Double Jeopardy!;AT THE CLEVELAND CLINIC;$800;"(<a href=""http://www.j-archive.com/media/2012-01-11_DJ_27.jpg"" target=""_blank"">Sarah of the Clue Crew reports from the Cleveland Clinic.</a>)  MI stands for myocardial infarction, or heart attack; MI also stands for this innovative type of heart surgery with tiny instruments that can reduce trauma & complications";minimally invasive
11/01/2012;Double Jeopardy!;WANT ADS;$1200;"They're out there! We need you to go get 'em! Channel your inner Boba Fett or ""Dog"" Chapman in this 2-word job";a bounty hunter
11/01/2012;Double Jeopardy!;"GO ""SOUTH""";$1200;...to Juba, capital of this new nation;South Sudan
11/01/2012;Double Jeopardy!;I KNOW THAT WORD BACKWARDS & FORWARDS;$1200;Reza Khan, born in Iran in 1878, & his son were these for a combined 54 years;shahs
11/01/2012;Double Jeopardy!;MESOPOTAMIA;$1200;The epic poem of this Sumerian king includes an account of a great flood;Gilgamesh
11/01/2012;Double Jeopardy!;THE DE NIRO CODE;$1200;"To Billy Crystal in this film: ""I was gonna whack you. But I was real conflicted about it""";Analyze This
11/01/2012;Double Jeopardy!;AT THE CLEVELAND CLINIC;$1200;"(<a href=""http://www.j-archive.com/media/2012-01-11_DJ_28.jpg"" target=""_blank"">Sarah of the Clue Crew reports from the Cleveland Clinic.</a>)  Single port surgery is an advanced method that mainly uses just one entry point; the Cleveland Clinic was the first hospital to extract one of these paired organs via the umbilicus";a kidney
11/01/2012;Double Jeopardy!;WANT ADS;$1600;In the June 3, 2011 paper: this country wants new president after bomb explodes in Ali Saleh's presidential palace;Yemen
11/01/2012;Double Jeopardy!;"GO ""SOUTH""";$1600;...to this body of water that includes the Gulf of Tonkin & the Gulf of Thailand;the South China Sea
11/01/2012;Double Jeopardy!;I KNOW THAT WORD BACKWARDS & FORWARDS;$1600;Coloring something more rubicund makes it this;redder
11/01/2012;Double Jeopardy!;MESOPOTAMIA;$3,000;Transcribed in the 1800s, the Behistun Inscription is the Rosetta Stone for this type of writing developed in Mesopotamia;cuneiform
11/01/2012;Double Jeopardy!;THE DE NIRO CODE;$1600;"In Italian, in this sequel: ""Do me this favor..ask your friends...about me. They'll tell you I know how to return a favor""";The Godfather Part II
11/01/2012;Double Jeopardy!;AT THE CLEVELAND CLINIC;$1600;"(<a href=""http://www.j-archive.com/media/2012-01-11_DJ_29.jpg"" target=""_blank"">Sarah of the Clue Crew reports from the Cleveland Clinic.</a>)  These files are fading into the past as the Clinic is on the forefront of ""EMR"", short for these, which are available to authorized doctors & personnel anytime, anywhere in the world";electronic medical records
11/01/2012;Double Jeopardy!;WANT ADS;$2000;"We have a primary need for this hyphenated job in our fancy French kitchen; only the head guy is your superior";sous-chef
11/01/2012;Double Jeopardy!;"GO ""SOUTH""";$2000;...to here, where you'll find the cities of Christchurch & Dunedin;the South Island
11/01/2012;Double Jeopardy!;I KNOW THAT WORD BACKWARDS & FORWARDS;$2000;Exalted to the rank of a god;deified
11/01/2012;Double Jeopardy!;MESOPOTAMIA;$2000;"From the Assyrian for ""height"", this stepped structure was used as a temple by Mesopotamian cultures";ziggurat
11/01/2012;Double Jeopardy!;THE DE NIRO CODE;$2000;"""Goodfellas"": ""The two greatest things in life"" are ""never rat on"" these ""and always keep your mouth shut""";your friends
11/01/2012;Double Jeopardy!;AT THE CLEVELAND CLINIC;$5,000;"(<a href=""http://www.j-archive.com/media/2012-01-11_DJ_30.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the Cleveland Clinic.</a>)  Robin Williams thanked the Cleveland Clinic team for his heart surgery, saying after getting a replacement one of these from a cow, ""the grazing's been fun""";a valve
11/01/2012;Final Jeopardy!;FOOD ETYMOLOGY;None;Keith Downey developed rapeseed into this cooking product, now a huge cash crop for farmers in Saskatchewan;canola
10/01/2012;Jeopardy!;SLIM VOLUMES;$200;"This doctor's ""Diet Revolution"" promised weight loss with a high-protein/low-carb diet (pass the steaki)";Dr. Atkins
10/01/2012;Jeopardy!;STATE OF THE UNION;$200;"This union state's 6th regiment was nicknamed the Minutemen; its 20th was the Harvard regiment";Massachusetts
10/01/2012;Jeopardy!;"GOING TOO ""FUR""";$200;These electronic toys were a must-have item during the Christmas season of 1998;the Furby
10/01/2012;Jeopardy!;IT MIGHT SURPRISE YOU;$200;"The actual quote from this star of gangster films was ""you dirty yellow-bellied rat!""";Jimmy Cagney
10/01/2012;Jeopardy!;JONATHAN SWIFTIES;$200;"""He was a bold man that first ate"" this bivalve mollusk";an oyster
10/01/2012;Jeopardy!;COMIC STRIPS;$200;Aaugh! This comic strip character was torn between a summer camp flame named Peggy Jean & the little red-haired girl;Charlie Brown
10/01/2012;Jeopardy!;SLIM VOLUMES;$400;"Recent diet books: ""The Paleo Diet"" & ""Neanderthin: Eat Like"" one of these ""to achieve a lean, strong, healthy body""";a Caveman
10/01/2012;Jeopardy!;STATE OF THE UNION;$400;The westernmost states to stay loyal to the union were California & this one that had just been admitted in 1859;Oregon
10/01/2012;Jeopardy!;"GOING TOO ""FUR""";$400;Rolled up, like a flag or a boat's sails;furled
10/01/2012;Jeopardy!;IT MIGHT SURPRISE YOU;$400;Despite the opportunity, this November 1965 event in NYC did not result in a mini baby boom 9 months later;a blackout
10/01/2012;Jeopardy!;JONATHAN SWIFTIES;$400;"""Every man desires to live long, but no man would be"" this";old
10/01/2012;Jeopardy!;COMIC STRIPS;$400;"Ack! In 2010 Ms. Guisewite said her ""creative biological clock"" was ticking & ended this strip after 34 years";Cathy
10/01/2012;Jeopardy!;SLIM VOLUMES;$600;"You may want to enter this, a diet book & program by Barry Sears, who clarified with ""Mastering"" it";The Zone
10/01/2012;Jeopardy!;STATE OF THE UNION;$600;Turnabout is fair play--it seceded from a confederate state & joined the union in June 1863;West Virginia
10/01/2012;Jeopardy!;"GOING TOO ""FUR""";$600;To provide & install housewares to a dwelling;furnish
10/01/2012;Jeopardy!;IT MIGHT SURPRISE YOU;$600;"Contrary to popular belief <a href=""http://www.j-archive.com/media/2012-01-10_J_20.jpg"" target=""_blank"">this</a> critter does not commit mass suicide in times of overpopulation";a lemming
10/01/2012;Jeopardy!;JONATHAN SWIFTIES;$600;"""Proper words in proper places make the true definition of"" this--it's elementary, according to Strunk & White";style
10/01/2012;Jeopardy!;COMIC STRIPS;$600;This Scott Adams title guy with a gravity-defying tie accidentally invented a death ray that interested North Korea;Dilbert
10/01/2012;Jeopardy!;SLIM VOLUMES;$800;"This chef followed up his ""Now Eat This!"" cookbook with ""Now Eat This! Diet""";(Rocco) DiSpirito
10/01/2012;Jeopardy!;STATE OF THE UNION;$800;"A senator from this state said, ""having been the first...to enter the union"", it would be ""the last to abandon it""";Delaware
10/01/2012;Jeopardy!;"GOING TOO ""FUR""";$800;A smelter, for example;a furnace
10/01/2012;Jeopardy!;IT MIGHT SURPRISE YOU;$800;This exhaustive reference work first published in 1768 is not British: it has been American-owned for over 100 years;the Encyclopedia Britannica
10/01/2012;Jeopardy!;JONATHAN SWIFTIES;$800;"These, made by parliament, ""are like cobwebs, which may catch small flies, but let wasps and hornets break through""";laws
10/01/2012;Jeopardy!;COMIC STRIPS;$800;Duke has been Gov. of American Samoa, GM of the Redskins & a lobbyist for the NRA in this comic strip;Doonesbury
10/01/2012;Jeopardy!;STATE OF THE UNION;$1000;"It stayed in the union, but the confederacy also admitted it in 1861; it was in a ""compromising"" position, after all";Missouri
10/01/2012;Jeopardy!;"GOING TOO ""FUR""";$1000;"Popular composition from around 1810 heard <a href=""http://www.j-archive.com/media/2012-01-10_J_05.mp3"">here</a>";Für Elise
10/01/2012;Jeopardy!;IT MIGHT SURPRISE YOU;$1,200;"It's not one large <a href=""http://www.j-archive.com/media/2012-01-10_J_22.wmv"">bone</a> below the waist, it's five bones - the coccyx, the ilium, the ischium, the pubis and the sacrum.";the pelvis
10/01/2012;Jeopardy!;JONATHAN SWIFTIES;$1000;"""A flea / hath smaller fleas that on him prey; / and these have smaller still to bite 'em; / and so proceed"" this endless way";ad infinitum
10/01/2012;Jeopardy!;COMIC STRIPS;$1000;On December 8, 1980 Berkeley Breathed began his magnum opus with the debut of this strip;Bloom County
10/01/2012;Double Jeopardy!;ARCHITECTURE;$400;The caldarium, the tepidarium & the frigidarium were chambers in these, where olden Romans refreshed themselves;the baths
10/01/2012;Double Jeopardy!;SOUNDS LIKE A CAPITAL CITY;$400;To cause to undergo combustion;burn
10/01/2012;Double Jeopardy!;MOTORCYCLE MAKERS;$400;Time to get high on this hyphenated maker's hog, specifically the Fat Bob, which gets a fat 53 mpg on the highway;Harley-Davidson
10/01/2012;Double Jeopardy!;MISSING LINKS;$400;Guilt by ____ Football;association
10/01/2012;Double Jeopardy!;PLATE TECTONICS;$400;Formed by plate tectonics, these mid-ocean uplifts are actually underwater mountain chains;ridges
10/01/2012;Double Jeopardy!;COMICS STRIP;$400;"This Monty Python stalwart went the full monty in ""A Fish Called Wanda""";(John) Cleese
10/01/2012;Double Jeopardy!;ARCHITECTURE;$800;"Virginia's Shirley plantation has a ""hanging"" one of these that climbs 3 stories without any visible means of support";a staircase
10/01/2012;Double Jeopardy!;SOUNDS LIKE A CAPITAL CITY;$800;"A light yellow-brown; perfect color for an envelope, I say";manila
10/01/2012;Double Jeopardy!;MOTORCYCLE MAKERS;$800;"Baseball's Ichiro must be aware that this maker's B-King is the ""rowdy alter ego"" to its Hayabusa";Suzuki
10/01/2012;Double Jeopardy!;MISSING LINKS;$800;A good ____ Havoc;cry
10/01/2012;Double Jeopardy!;PLATE TECTONICS;$800;In 2006 scientists argued that the westward trend of continents was due partly to these shifts in sea levels caused by the moon;the tides
10/01/2012;Double Jeopardy!;COMICS STRIP;$800;"In ""Get Him to the Greek"", this Brit took a trip in the buff in a toy car";Russell Brand
10/01/2012;Double Jeopardy!;ARCHITECTURE;$4,000;"(<a href=""http://www.j-archive.com/media/2012-01-10_DJ_18.jpg"" target=""_blank"">Jimmy of the Clue Crew stands on the steps of the New York Stock Exchange.</a>) The six Corinthian columns of the New York Stock Exchange facade  are among the reasons the building is considered a masterpiece of this architectural style that drew inspiration from Greek and Roman models.";neoclassic
10/01/2012;Double Jeopardy!;SOUNDS LIKE A CAPITAL CITY;$1200;You'll find one on any shoe;sole
10/01/2012;Double Jeopardy!;MOTORCYCLE MAKERS;$1200;"""Let the good times roll"" with this company's supersport cycle, the Ninja ZX-14";Kawasaki
10/01/2012;Double Jeopardy!;MISSING LINKS;$1200;Mobile ____ Economics;home
10/01/2012;Double Jeopardy!;COMICS STRIP;$1200;Borat, played by this British comic, had a naked tussle with his portly Kazakh TV producer;(Sacha Baron) Cohen
10/01/2012;Double Jeopardy!;ARCHITECTURE;$1600;This type of window that opens by means of a crank rhymes with a lower story of a building;casement
10/01/2012;Double Jeopardy!;SOUNDS LIKE A CAPITAL CITY;$1600;Almost half of north Americans have this kind of blood;Type A
10/01/2012;Double Jeopardy!;MISSING LINKS;$1600;Curry ____ Keg;powder
10/01/2012;Double Jeopardy!;COMICS STRIP;$1600;Jason Segel's real-life split was the basis of his naked break-up with this 2008 title movie gal;Sarah Marshall
10/01/2012;Double Jeopardy!;ARCHITECTURE;$2000;"After WWI he became director of the Grand Ducal art school in Weimar; in 1925 he moved the school to Dessau";Walter Gropius
10/01/2012;Double Jeopardy!;SOUNDS LIKE A CAPITAL CITY;$2000;Is old-time ballplayer Yogi able to?;Canberra
10/01/2012;Double Jeopardy!;MISSING LINKS;$2000;Near ____ South Dakota pageant;miss
10/01/2012;Double Jeopardy!;COMICS STRIP;$2000;Ken Jeong bared all as crime lord Mr. Chow in this 2009 Vegas comedy;The Hangover
10/01/2012;Final Jeopardy!;RULERS IN HISTORY;None;Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them;Peter the Great
18/01/2012;Jeopardy!;HISTORIC DATES;$200;He was shot on Sept. 6, 1901 while shaking hands with a crowd of well-wishers at the Pan-American Exposition;McKinley
18/01/2012;Jeopardy!;SPORTS SHORTS;$200;In 2008 he swam 200 meters freestyle in a record 1 minute, 42.96 seconds;Michael Phelps
18/01/2012;Jeopardy!;ONE LETTER DIFFERENT;$200;A large sack;a big bag
18/01/2012;Jeopardy!;THE LAND;$200;"This country is ""The Land of the Shamrock""";Ireland
18/01/2012;Jeopardy!;OF MILK;$200;In mammals, milk is secreted by these glands;mammary glands
18/01/2012;Jeopardy!;& HONEY;$200;& Honey, could you pick up some of the Huggies brand of these on the way home?;diapers
18/01/2012;Jeopardy!;HISTORIC DATES;$400;On May 17, 1954 the Supreme Court ruled on this case, unanimously outlawing public school segregation;Brown vs. the Board of Education
18/01/2012;Jeopardy!;SPORTS SHORTS;$400;This manager went out on top when he called it quits Oct. 31, 2011;La Russa
18/01/2012;Jeopardy!;ONE LETTER DIFFERENT;$400;Excellent eats;good food
18/01/2012;Jeopardy!;THE LAND;$400;Victoria Land, one of its regions, lies north of the Ross Ice Shelf;Antarctica
18/01/2012;Jeopardy!;OF MILK;$400;Many countries have laws requiring that milk undergo this process that guards against pathogens;pasteurization
18/01/2012;Jeopardy!;& HONEY;$400;"& Honey, if you get a chance, could you wash my favorite <a href=""http://www.j-archive.com/media/2012-01-18_J_12.jpg"" target=""_blank"">pants</a>?  You know, the ones named for that 19th century woman";bloomers
18/01/2012;Jeopardy!;HISTORIC DATES;$600;The Egyptian government opened his mummy case on March 6, 1924;Tutankhamun
18/01/2012;Jeopardy!;SPORTS SHORTS;$600;In 2011 this QB was a first-round draft pick by Carolina;(Cam) Newton
